testaccom_id,accomodation,accom_location,destination,accom_stars,accom_type,accom_board_basis,staff_pick,trip_adv_rating,trip_adv_reviews,has_swimming_pool,has_sauna,has_jacuzzi,has_tv_in_room,has_air_conditioning,has_wifi,has_hot_tub,has_lift,suitable_for_children,has_child_care,has_bar,has_sea_view,close_to_resort,departure_airport,travel_date,booking_date,day_booked_before_travel,holiday_duration,price_per_person
INSOHL,Hotel Londra,Sorrento,Sorrento and Amalfi Coast,3,Hotel,Bed & Breakfast,0,3,323,1,0,0,0,1,1,0,0,0,0,1,0,1,DUB,2015-05-02,2015-02-19,72,7,629
INSOBA,Hotel Torre Barbara,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,366,1,0,0,1,1,0,0,0,0,0,1,0,1,DUB,2015-05-02,2015-01-19,103,7,725.44
INSOC,Grand Hotel Capodimonte,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2602,0,0,1,1,1,1,0,0,0,0,1,1,1,DUB,2015-05-02,2015-03-24,39,7,1067.89
INSOF,Grand Hotel La Favorita,Sorrento,Sorrento and Amalfi Coast,5,Hotel,Bed & Breakfast,0,5,1825,1,0,0,1,1,1,0,1,0,0,1,0,1,DUB,2015-05-02,2014-12-04,149,7,1169
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-21,71,7,1245.41
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-21,71,7,1252.59
INSOHL,Hotel Londra,Sorrento,Sorrento and Amalfi Coast,3,Hotel,Bed & Breakfast,0,3,323,1,0,0,0,1,1,0,0,0,0,1,0,1,DUB,2015-05-03,2015-03-25,39,7,674
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-16,76,7,1245
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-12,80,7,1049
INSOBA,Hotel Torre Barbara,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,366,1,0,0,1,1,0,0,0,0,0,1,0,1,DUB,2015-05-03,2015-04-08,25,7,834
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-19,73,7,1177.75
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-04-03,30,7,1249
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-30,93,7,979
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-06,117,7,1269
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-07,116,7,1529
